"Response ID","Date submitted","Last page","Start language","Token","Date started","Date last action","What gender do you identify as?","How old are you?","What is the highest degree or level of education you have completed?","What is your field of work or study?","How familiar are you with computers? [Unfamiliar | Familiar]","For what purpose do you use a computer? [For studying purposes]","For what purpose do you use a computer? [For programming]","For what purpose do you use a computer? [For office work]","For what purpose do you use a computer? [For entertainement]","How familiar are you with humanoid robots? [Unfamiliar | Familiar]"
"1","2022-02-21 09:07:08","1","en","KnowledgeableKoala","2022-02-21 09:06:24","2022-02-21 09:07:08","Male","18 - 29 years","Bachelor's Degree","Computer Science ","5","Yes","Yes","Yes","Yes","1"
"2","2022-02-21 10:05:37","1","en","SleekSheep","2022-02-21 10:04:49","2022-02-21 10:05:37","Female","18 - 29 years","Bachelor's Degree","Computer science","5","Yes","Yes","No","No","3"
"3","2022-02-21 13:02:52","1","en","PersonableParrot","2022-02-21 13:02:13","2022-02-21 13:02:52","Female","18 - 29 years","Master's Degree","HCI","5","No","Yes","Yes","Yes","5"
"4","2022-02-23 11:06:04","1","en","PersonablePony","2022-02-23 11:05:10","2022-02-23 11:06:04","Male","18 - 29 years","High School","Computer Science","5","Yes","Yes","Yes","Yes","5"
"5","2022-02-23 12:01:48","1","en","CreativeCamel","2022-02-23 12:01:19","2022-02-23 12:01:48","Male","18 - 29 years","Bachelor's Degree","Robotics","5","Yes","Yes","Yes","Yes","5"
"6","2022-02-23 16:09:52","1","en","HilariousHawk","2022-02-23 16:09:06","2022-02-23 16:09:52","Female","18 - 29 years","Bachelor's Degree","Computer Science","5","Yes","Yes","Yes","Yes","4"
"7","2022-02-24 09:04:45","1","en","SplendidSquirrel","2022-02-24 09:04:12","2022-02-24 09:04:45","Female","18 - 29 years","Bachelor's Degree","Informatik","5","Yes","Yes","Yes","Yes","1"
"8","2022-02-24 11:02:33","1","en","BrightBear","2022-02-24 11:01:04","2022-02-24 11:02:33","Female","18 - 29 years","High School","mensch-computer -interaktion","4","Yes","No","No","Yes","2"
"9","2022-02-24 12:12:20","1","en","ThoughtprovokingTiger","2022-02-24 12:11:27","2022-02-24 12:12:20","Male","18 - 29 years","Bachelor's Degree","Computer Science","5","Yes","Yes","Yes","Yes","5"
"10","2022-02-24 13:10:09","1","en","WondrousWhale","2022-02-24 13:09:38","2022-02-24 13:10:09","Female","18 - 29 years","Bachelor's Degree","AI","4","Yes","Yes","Yes","Yes","3"
"11","2022-02-24 14:03:15","1","en","ThoughtprovokingTurtle","2022-02-24 14:02:32","2022-02-24 14:03:15","Male","18 - 29 years","High School","IT/MCI","5","Yes","Yes","No","Yes","3"
"12","2022-02-25 09:07:34","1","en","AmiableAlbatross","2022-02-25 09:06:55","2022-02-25 09:07:34","Male","18 - 29 years","Bachelor's Degree","Computer Science","5","Yes","Yes","Yes","Yes","2"
"13","2022-02-25 09:54:16","1","en","WondrousWallaby","2022-02-25 09:53:42","2022-02-25 09:54:16","Male","18 - 29 years","High School","Bsc. Informatik","5","Yes","Yes","Yes","Yes","2"
"14","2022-02-25 12:58:12","1","en","HonestHamster","2022-02-25 12:57:37","2022-02-25 12:58:12","Male","18 - 29 years","Bachelor's Degree","Computer Science","5","Yes","Yes","Yes","Yes","3"
"15","2022-02-25 15:59:56","1","en","EducatedEagle","2022-02-25 15:59:11","2022-02-25 15:59:56","Male","18 - 29 years","High School","Law","3","Yes","No","Yes","Yes","2"
"16","2022-02-28 12:20:54","1","en","CharmingCobra","2022-02-28 12:19:40","2022-02-28 12:20:54","Female","18 - 29 years","Bachelor's Degree","Communication Design","3","Yes","Yes","Yes","Yes","1"
"17","2022-02-28 14:13:42","1","en","JoyfulJellyfish","2022-02-28 14:12:47","2022-02-28 14:13:42","Female","18 - 29 years","Bachelor's Degree","IT-Management and Consulting","5","Yes","Yes","Yes","Yes","3"
"18","2022-02-28 16:01:22","1","en","RavishingRabbit","2022-02-28 16:00:36","2022-02-28 16:01:22","Male","18 - 29 years","Master's Degree","Computer Science","5","Yes","Yes","Yes","Yes","4"
"19","2022-03-02 13:00:44","1","en","BreathtakingBeaver","2022-03-02 12:59:54","2022-03-02 13:00:44","Male","40 - 49 years","Bachelor's Degree","MS in IAS","5","Yes","Yes","Yes","Yes","3"
"20","2022-03-02 14:02:30","1","en","MovingMole","2022-03-02 14:01:56","2022-03-02 14:02:30","Male","18 - 29 years","Bachelor's Degree","Computer Science","4","Yes","Yes","No","Yes","1"
"21","2022-03-02 14:58:10","1","en","StupendousSeahorse","2022-03-02 14:56:23","2022-03-02 14:58:10","Male","30 - 39 years","High School","Biologie","3","Yes","No","No","Yes","1"
"22","2022-03-02 17:04:18","1","en","TechnologicalTapir","2022-03-02 17:03:37","2022-03-02 17:04:18","Male","30 - 39 years","Ph.D. or higher","Computer Science","5","No","No","Yes","Yes","3"
"23","2022-03-03 08:56:24","1","en","FastpacedFox","2022-03-03 08:55:50","2022-03-03 08:56:24","Male","18 - 29 years","High School","Japanese Language and Culture","5","Yes","Yes","Yes","Yes","1"

